id,student_id,block_id,week_number,session_id,exercise_id,weight,notes,completed,created_at,actual_rpe
29b0ac24-1f51-4dd6-bb0b-d184fc8cd99e,0c932874-b8b7-4542-a522-a5cffd9c66a9,e0093cf3-8bc3-4f57-82b9-b1e5a70be98d,7,412c6f76-58af-4ffa-af99-5fc0952b2785,2b80e05d-17e6-4f4d-9017-b2d2618f6dc4,175,,f,2026-05-26 13:01:21.57558+00,6
9b2048ad-e46c-42ac-aeab-1dab86a08792,0c932874-b8b7-4542-a522-a5cffd9c66a9,e0093cf3-8bc3-4f57-82b9-b1e5a70be98d,7,412c6f76-58af-4ffa-af99-5fc0952b2785,db77e76c-dcea-4e1e-ab00-455cbf7b1ca5,190,,f,2026-05-26 13:01:33.190182+00,8.5
051fbf3d-231e-43e0-92b9-bbc588150cf5,467777cc-e79c-4ed4-ac53-b9f98978c205,eced6552-ec9e-46ac-b018-b27893a35304,2,41f33e94-b890-4569-af32-2b93118ad741,a223ad25-66f1-4de9-a45f-1030040ec6b2,120,,t,2026-05-26 15:57:33.993911+00,8
2f94b270-0ced-43b5-85ac-5aafba436e5b,e171833f-e8d0-4b2c-884c-fda495f1019a,8cf0462f-9a2c-458a-a494-4ad5adb0aefe,1,ef724dd3-1b33-46c6-bfc0-9933faea9f61,ac1b0206-acac-4048-b6ff-d6fc30f6332e,140,,t,2026-04-17 18:00:55.971331+00,5
468fe364-078f-430f-8b4e-0492bc77258b,0c932874-b8b7-4542-a522-a5cffd9c66a9,e0093cf3-8bc3-4f57-82b9-b1e5a70be98d,1,a8ff6f1d-d0c9-4d75-bcea-6cade887909f,d0a6b8b4-4de1-4a64-92f1-df599370bc90,95,,t,2026-04-20 01:42:04.820463+00,
42f44f1b-7640-49ca-ac1d-5333c5c0e186,73057fac-df99-47e3-9a98-73655103e9bb,1df5ce89-251c-4140-a6a6-d4c746c67cd4,5,3de90919-0636-4152-95cb-5866fdd46351,d8f3eb7a-ad88-45ac-b4f3-e76664498eb0,165,,t,2026-05-26 17:20:32.68899+00,5
2a31924a-66ea-4139-a78a-ee79338ed891,73057fac-df99-47e3-9a98-73655103e9bb,1df5ce89-251c-4140-a6a6-d4c746c67cd4,5,2e8bff0f-5499-4739-a9a5-dd8578186844,2da59aff-9dfe-426a-ac3e-f5702ff04ffb,60,,t,2026-05-26 17:21:23.434203+00,5
7e337f26-a3b7-40a5-b722-ac1a62cd94fe,16c808ed-154a-4685-a2e4-844038f7d76c,9e58f27e-cc82-4381-a8f0-8876a9a835e4,1,7128739e-921b-41ad-ad48-c96165c23b10,64c7858b-7761-4620-ae64-ff3c0dc66d97,0,,t,2026-04-18 00:12:51.636354+00,6
2999b10d-fbeb-4c79-aec1-8de55408cf87,16c808ed-154a-4685-a2e4-844038f7d76c,9e58f27e-cc82-4381-a8f0-8876a9a835e4,1,adb0b53f-3533-4004-b944-6704bad5220f,012d55b9-5d1b-408c-964c-035d99a559b1,190,,t,2026-04-14 23:42:07.773667+00,5
9144eebc-9337-4aa3-a305-3bd127b98806,e97dd2a5-7a5d-439b-8706-fecdae17d303,117a59c9-fbba-4b94-b2ef-a20de73df758,1,ac91073c-d9e0-4573-90de-2d4a3f718aca,592fd18f-3be6-4a29-be13-175f7603f448,10,,t,2026-05-26 18:25:40.766859+00,8
1c8bc381-b1b7-4520-83bb-c3c467fef716,dc0151e3-eb4d-4ae1-a914-91cfa2e734cc,d1c0a920-848e-49c5-86c8-d8d596977b44,2,6b13b363-6cbf-466e-be55-35328c33e8df,dd711520-ecbc-4fdf-a72b-a3af9c5f90c0,185,,t,2026-05-26 18:58:38.617637+00,7
619edcaa-979e-4589-91cc-32a11443b293,dc0151e3-eb4d-4ae1-a914-91cfa2e734cc,d1c0a920-848e-49c5-86c8-d8d596977b44,2,6b13b363-6cbf-466e-be55-35328c33e8df,e85b910d-d6a1-46c6-bcd2-648794cdfbac,180,,t,2026-05-26 18:58:45.667999+00,6
ce1502f4-bab9-4f2c-98dd-4158839ea38e,16c808ed-154a-4685-a2e4-844038f7d76c,9e58f27e-cc82-4381-a8f0-8876a9a835e4,1,adb0b53f-3533-4004-b944-6704bad5220f,d1afc55b-597e-47d0-84d7-a8d1ce2b0f6b,200,,t,2026-04-15 00:49:54.588259+00,6
ba1e3b6a-d2c3-4418-a572-da6353e911c9,e97dd2a5-7a5d-439b-8706-fecdae17d303,117a59c9-fbba-4b94-b2ef-a20de73df758,1,945bd722-b67b-4348-93fa-7b9ee4fb142e,2a6097d2-4a12-4638-bfaa-6ef46f511deb,20,,t,2026-05-26 19:11:06.028343+00,
41c70dfd-ec99-4a36-b042-eb703f8d2eaa,0d2ee23a-a3eb-4bb7-9cb5-c6334673c27c,ae145941-8a2a-484d-9763-0d947cc5e517,4,e1601538-8b6c-40b4-b1aa-231ab6283d9d,0d15cce2-3a02-4bc4-97aa-50d2b5ef42b3,155,,t,2026-05-26 19:41:39.198325+00,8
a784424e-50b7-4e39-b51f-a1c57fc0179d,16c808ed-154a-4685-a2e4-844038f7d76c,54d16b3e-1438-4f71-b9ff-e3fdbbec3c23,3,d3baeef9-d262-42d3-8ff9-ded27971f0dd,28c43aca-5931-4e07-ac36-064b68d93b95,50,,t,2026-05-26 20:46:47.83514+00,9
070c993e-9a0c-4311-921f-a7723e7361b3,16c808ed-154a-4685-a2e4-844038f7d76c,54d16b3e-1438-4f71-b9ff-e3fdbbec3c23,3,d3baeef9-d262-42d3-8ff9-ded27971f0dd,1eb34ab2-3d4b-4095-bc50-20c802a1e17e,35,,t,2026-05-26 20:50:43.192841+00,
44fb82f4-8fc7-4cc3-a182-0ac55e3a63f9,6238dd06-e129-4964-9bea-c462e5f36c15,12712ce8-ef29-43b3-abd9-81f80585ce8e,1,e0aa0036-7bcf-4cb3-bb85-c339815a041c,28cac5e2-dc2f-4772-862d-60b597775c40,100,,t,2026-05-27 00:16:02.02443+00,5.5
6a47c9be-2c7c-4c83-bb01-fe2de7151230,0a0bb310-eff2-4351-a82a-fd2fe286d234,03fca170-b09e-469c-9a3d-a3e59bf9365f,6,9bce60bb-6dcb-4007-9805-903f1c0714c3,1dcf5454-60f6-4b8a-ad98-b73be34b6eb2,55,,t,2026-05-27 01:00:05.696286+00,5
