id,name,muscle_group,muscle_group_2,muscle_group_3,video_url,created_at,updated_at,is_squat_rm,is_bench_rm,is_deadlift_rm
bffb013e-8623-45dc-bf10-6cebad845d13,Mergulho nas paralelas,Tríceps,Peito,,https://www.youtube.com/shorts/dij0l_pL0z8,2026-05-18 15:14:56.156339+00,2026-05-18 15:14:56.156339+00,f,f,f
9cd7da38-b410-4397-9b3c-03c5a7525626,Zarcher squat,Glúteos,Quadríceps,,,2026-05-19 23:26:40.674646+00,2026-05-19 23:26:40.674646+00,t,f,f
d590e994-7de0-42c5-9a5a-c93df3cebd94,Desenvolvimento unilateral,Ombros,,,https://www.youtube.com/shorts/ozJxjV52QcM,2026-05-19 23:28:11.513468+00,2026-05-19 23:28:11.513468+00,f,f,f
5cd8f3fa-b353-4643-bc15-da8f0d5af54e,Dead Bug,Core,,,https://www.youtube.com/watch?v=5jDEulwWs04&pp=ygUXc3RhYmlsaXR5IGJhbGwgZGVhZCBidWc%3D,2026-05-24 13:28:48.13553+00,2026-05-24 13:28:48.13553+00,f,f,f
44498429-0957-4028-90ca-473e5b807436,DEPRESSÃO ESCAPULAR C/ ELÁSTICO,Costas,,,https://www.youtube.com/shorts/N2sLiWahuQU,2026-05-24 13:35:25.64442+00,2026-05-24 13:35:25.64442+00,f,f,f
3f31f22e-62ab-4068-95ff-f91766f5fa6b,Salto Vertical,Quadríceps,,,,2026-05-25 02:36:08.937971+00,2026-05-25 02:36:08.937971+00,f,f,f
dc7a7fa6-e083-4758-92e7-032481b27433,DEPRESSÃO ESCAPULAR ISOMÉTRICA C/ ELÁSTICO NO SUPINO,Ombros,Costas,,https://www.youtube.com/shorts/N2sLiWahuQU,2026-06-01 15:18:43.729857+00,2026-06-01 15:18:43.729857+00,f,f,f
8c462945-37e4-4221-818b-abbba0666a8f,BARRA AUSTRALIANA,Costas,,,https://www.youtube.com/watch?v=9fItzuh9Iok,2026-06-01 15:22:36.574655+00,2026-06-01 15:22:36.574655+00,f,f,f
61da863a-cd10-4e8f-a4b8-5314a364bf22,ROTAÇÃO EXTERNA DE OMBRO EM 90° DE FLEXÃO DE OMBRO,Ombros,,,https://www.youtube.com/shorts/7F6Yd2XxVnY,2026-06-02 20:46:38.544725+00,2026-06-02 20:46:38.544725+00,f,f,f
80a730ca-0bad-4e9e-b086-b6b823eaa442,MESA FLEXORA UNILATERAL,Posterior,,,,2026-06-10 19:22:29.935299+00,2026-06-10 19:22:29.935299+00,f,f,f
14b05814-6dab-4bc3-b63e-ba24c1a62f41,FLOOR PRESS C/ HALTERES,Peito,Peito,,https://www.youtube.com/watch?v=rs05AtccEhg,2026-06-11 14:55:58.318363+00,2026-06-11 14:55:58.318363+00,f,f,f
