id,scope,type,category_id,amount,description,day_of_month,start_date,end_date,active,last_generated_date,created_at,updated_at
06107501-4df9-4251-898c-c2f488496211,empresa,expense,36a0cbb3-bbf3-4a72-8bd4-9ee81708e1ed,4000,Salario Bruno (1k só para investir),1,2026-04-23,,t,2026-06-01,2026-04-23 13:44:29.342705+00,2026-06-01 06:00:08.484511+00
bc4e53bb-74fa-4504-ba1e-6aeb2f965f90,empresa,expense,af8842ad-baab-46b0-a999-02ed5b18f954,500,Trafego Pago,1,2026-04-23,,t,2026-06-01,2026-04-23 13:44:50.967936+00,2026-06-01 06:00:08.625564+00
48632ae0-abcd-4693-93bc-afa6232aff7f,pessoal,income,9e212461-5c3e-4fcc-989e-9e0535355958,4000,Salario da consultoria,1,2026-04-23,,t,2026-06-01,2026-04-23 13:47:44.13501+00,2026-06-01 06:00:08.732997+00
e188f62d-9375-4085-8a0e-b48cdd664f76,pessoal,expense,a2f40c40-95ea-4812-b4d1-b40dfbbd9a20,430,Brandon (Consultoria de Powerlifting),1,2026-04-23,,t,2026-06-01,2026-04-23 13:48:47.746748+00,2026-06-01 06:00:08.802102+00
2045c6eb-0cdc-440e-998b-0a9b6ee9a67e,pessoal,expense,a2f40c40-95ea-4812-b4d1-b40dfbbd9a20,90,Academia,1,2026-04-23,,t,2026-06-01,2026-04-23 13:49:04.631445+00,2026-06-01 06:00:08.88783+00
84b239cb-ab43-45d7-9561-29c2678d0930,pessoal,expense,a2f40c40-95ea-4812-b4d1-b40dfbbd9a20,540,Aula de ingles,1,2026-04-28,,t,2026-06-01,2026-04-28 13:11:48.194991+00,2026-06-01 06:00:08.960488+00
3ff06f64-7be3-4403-a660-ab787c08c192,pessoal,expense,d2fc8280-92c6-4157-b60e-5d6f156b0652,300,"Gasolina (100 para o carro, 200 para a moto, as vezes mais pro carro)",1,2026-04-23,,t,2026-06-01,2026-04-23 13:52:40.399211+00,2026-06-01 06:00:09.024391+00
08dbf949-05dd-427f-af00-3c0fb914a7fd,pessoal,expense,8d9558db-8dd2-4b9e-a3cf-de02218eceac,400,Dieta do mês,1,2026-04-23,,t,2026-06-01,2026-04-23 13:54:01.584656+00,2026-06-01 06:00:09.086309+00
b01a29aa-5fe7-4911-9ceb-7e8d89d6e845,pessoal,expense,40c259ff-388a-4546-b7ad-dd3ce588a1eb,200,Ajuda no aluguel de casa,1,2026-04-23,,t,2026-06-01,2026-04-23 13:54:30.547449+00,2026-06-01 06:00:09.160237+00
e9ea4b56-9865-4715-8593-c7ce476da606,empresa,expense,,90,MEI,5,2026-04-27,,t,2026-05-05,2026-04-27 14:41:10.683626+00,2026-05-05 06:00:12.764825+00
1e739492-62e5-4cd5-a9b0-eeaef17f3209,empresa,expense,12abd7b4-89f3-487d-9c35-8e540e217d10,150,Loveble (App da consultoria),10,2026-04-23,,t,2026-05-10,2026-04-23 13:43:28.422716+00,2026-05-10 06:00:06.311176+00
9a768cf2-f53e-4a6d-babe-f67af1b55367,pessoal,expense,40c259ff-388a-4546-b7ad-dd3ce588a1eb,250,Conta de Luz,10,2026-04-23,,t,2026-05-10,2026-04-23 13:53:07.049605+00,2026-05-10 06:00:07.44498+00
a74d5a69-6abc-404d-8e56-4af7fc00fc59,pessoal,expense,40c259ff-388a-4546-b7ad-dd3ce588a1eb,300,"Parcela da Entrada da Casa (valor total, algo perto de 5.100 em 18x)",10,2026-04-25,,t,2026-05-10,2026-04-25 00:31:20.405586+00,2026-05-10 06:00:08.01171+00
9ae44d45-a219-46a5-88c1-228f53bd4c3d,pessoal,expense,40c259ff-388a-4546-b7ad-dd3ce588a1eb,300,Taxa de construção da casa (acaba quando a casa estiver pronta) vai subindo cada mes até chegar nuns 600,10,2026-04-25,,t,2026-05-10,2026-04-25 00:32:15.287973+00,2026-05-10 06:00:08.595606+00
df150637-2057-4744-877b-57d8b0ac7c88,pessoal,expense,40c259ff-388a-4546-b7ad-dd3ce588a1eb,100,Conta de internet,12,2026-04-23,,t,2026-05-12,2026-04-23 13:53:28.651535+00,2026-05-12 06:00:08.595449+00
0a646f14-be52-4c08-ba5a-53ca9e812226,pessoal,expense,a2f40c40-95ea-4812-b4d1-b40dfbbd9a20,120,Jiu Jitsu,20,2026-04-23,,t,2026-05-20,2026-04-23 13:48:16.013459+00,2026-05-20 06:00:05.156867+00
2947fe1a-1387-42b3-a61c-91a76850afef,pessoal,expense,b3ce711c-f9f8-4df8-b74f-3660b36b1c31,30,Corte de cabelo,20,2026-05-04,,t,2026-05-20,2026-05-04 14:00:50.584932+00,2026-05-20 06:00:05.682242+00
6114d783-869b-4d68-b580-f7155e83663c,empresa,income,ca4d1a3b-e783-4498-b3ed-95e2eeb6f208,12000,Faturamento,1,2026-04-23,,t,2026-06-01,2026-04-23 13:41:16.847235+00,2026-06-01 06:00:06.845288+00
5ed2f2ff-6af3-41c8-bf78-e5dc71ad7f31,empresa,expense,36a0cbb3-bbf3-4a72-8bd4-9ee81708e1ed,800,Social Seller,1,2026-04-23,,t,2026-06-01,2026-04-23 13:42:02.267184+00,2026-06-01 06:00:07.620103+00
125609a0-331b-4a38-be16-bdc92eb16907,empresa,expense,36a0cbb3-bbf3-4a72-8bd4-9ee81708e1ed,1500,Rodrigo,1,2026-04-23,,t,2026-06-01,2026-04-23 13:42:31.243689+00,2026-06-01 06:00:08.14459+00
4475fcc9-f52e-4f9b-8be4-0d674990b7bf,empresa,expense,36a0cbb3-bbf3-4a72-8bd4-9ee81708e1ed,1090,Vitor Cordeiro,1,2026-04-23,,t,2026-06-01,2026-04-23 13:42:57.890393+00,2026-06-01 06:00:08.327214+00
