id,student_id,exercise_id,sbd_type,weight,reps,estimated_1rm,recorded_at,created_at
3c3aa9b4-74ea-4429-a87e-9c1139f77857,75061457-1a89-462a-b288-a63ce1bf59e9,4add6099-93c5-4f1c-aeda-79c2bd1e60b3,squat,165,3,183.3,2026-06-01 23:42:40.912648+00,2026-06-01 23:42:40.912648+00
da8ff6e1-0570-413e-add4-b99cbe8529ea,b7570361-db11-407f-9660-4d6c9bc2d321,c131a3d4-6a99-4a6c-ad81-509714860850,bench,65,1,77.8,2026-06-01 23:46:03.716607+00,2026-06-01 23:46:03.716607+00
e28019fe-34a1-426d-80ff-ed0e2f0761b8,0a0bb310-eff2-4351-a82a-fd2fe286d234,451d7214-96b3-4859-8ac6-0cdfa5571b59,squat,130,6,167.7,2026-06-02 01:20:47.064415+00,2026-06-02 01:20:47.064415+00
ba261d3b-adb2-48ce-9a6f-6efbbcbfdc00,e18cfaf3-5c3f-4adf-bfb3-600d26ab3a4c,451d7214-96b3-4859-8ac6-0cdfa5571b59,squat,20,4,25,2026-06-02 01:44:42.358741+00,2026-06-02 01:44:42.358741+00
11239eb0-0378-403d-8cc7-d4e72945da17,22388e19-fd83-40a2-b43d-d301fa457709,856c7db7-094d-4a30-b03f-52e603afd52a,bench,45,5,61.2,2026-06-02 09:38:43.819529+00,2026-06-02 09:38:43.819529+00
d29e7105-152a-4e9f-9dbc-c01f10448dcb,22388e19-fd83-40a2-b43d-d301fa457709,856c7db7-094d-4a30-b03f-52e603afd52a,bench,49,3,60.9,2026-06-02 09:54:25.909942+00,2026-06-02 09:54:25.909942+00
d7347809-c86f-47a7-a142-447bf1056822,e171833f-e8d0-4b2c-884c-fda495f1019a,856c7db7-094d-4a30-b03f-52e603afd52a,bench,80,4,87.3,2026-04-17 18:12:21.754359+00,2026-04-17 18:12:21.754359+00
6beacc16-54a6-4af7-be41-e82ec77a20a9,16c808ed-154a-4685-a2e4-844038f7d76c,857ab26a-f1ed-4525-8e10-b6cd4d294acb,deadlift,216,2,222.2,2026-04-18 01:26:50.726489+00,2026-04-18 01:26:50.726489+00
5abd47a6-51a7-41b6-a3ef-8db6551d5b11,16c808ed-154a-4685-a2e4-844038f7d76c,857ab26a-f1ed-4525-8e10-b6cd4d294acb,deadlift,220,2,226.3,2026-04-18 01:37:54.011373+00,2026-04-18 01:37:54.011373+00
52a81b5d-a773-4f2f-8ae3-b0f0ae3472ab,16c808ed-154a-4685-a2e4-844038f7d76c,857ab26a-f1ed-4525-8e10-b6cd4d294acb,deadlift,216,2,222.2,2026-04-18 01:38:06.823574+00,2026-04-18 01:38:06.823574+00
daba71dd-fe2b-4ae0-9eb5-6c4e08668cbb,0c932874-b8b7-4542-a522-a5cffd9c66a9,856c7db7-094d-4a30-b03f-52e603afd52a,bench,100,3,105.9,2026-04-20 13:31:26.886065+00,2026-04-20 13:31:26.886065+00
c31b087c-59fe-4115-aabd-53ff9f0f9703,e171833f-e8d0-4b2c-884c-fda495f1019a,856c7db7-094d-4a30-b03f-52e603afd52a,bench,90,3,95.3,2026-04-20 17:55:07.11392+00,2026-04-20 17:55:07.11392+00
222c2feb-9fed-4508-b733-e560e9ca39e8,e171833f-e8d0-4b2c-884c-fda495f1019a,856c7db7-094d-4a30-b03f-52e603afd52a,bench,94,2,96.7,2026-04-20 17:55:09.566351+00,2026-04-20 17:55:09.566351+00
12ac468f-a817-4898-966b-4cfb21ab0477,e171833f-e8d0-4b2c-884c-fda495f1019a,0c39b27b-7c7a-4906-9549-8aad4be67413,squat,155,4,169.1,2026-04-21 14:34:19.735866+00,2026-04-21 14:34:19.735866+00
7e83469e-fdd9-4d10-8fa7-6671e5518804,e171833f-e8d0-4b2c-884c-fda495f1019a,0c39b27b-7c7a-4906-9549-8aad4be67413,squat,160,3,169.4,2026-04-21 14:34:22.563972+00,2026-04-21 14:34:22.563972+00
d8f62f9f-5f5e-450f-bcf9-917d0e549589,0c932874-b8b7-4542-a522-a5cffd9c66a9,0c39b27b-7c7a-4906-9549-8aad4be67413,squat,170,3,180,2026-04-21 15:25:54.585334+00,2026-04-21 15:25:54.585334+00
3e325fdc-0bf6-4bfa-8420-e36755acd50d,1ccb0eef-449b-4744-b4f2-30b0fbb9a583,0c39b27b-7c7a-4906-9549-8aad4be67413,squat,30,6,34.8,2026-04-21 20:32:16.836141+00,2026-04-21 20:32:16.836141+00
ca0cbfac-a6ba-4d39-be29-6a4c914a5bc2,1ccb0eef-449b-4744-b4f2-30b0fbb9a583,0c39b27b-7c7a-4906-9549-8aad4be67413,squat,70,6,81.3,2026-04-21 21:03:26.719818+00,2026-04-21 21:03:26.719818+00
aed5306f-0ee4-4439-ada7-fa7a8486a821,0a0bb310-eff2-4351-a82a-fd2fe286d234,451d7214-96b3-4859-8ac6-0cdfa5571b59,squat,100,6,116.1,2026-04-21 23:11:09.713217+00,2026-04-21 23:11:09.713217+00
64b62765-100a-42f3-9e66-5b4702157cda,0a0bb310-eff2-4351-a82a-fd2fe286d234,451d7214-96b3-4859-8ac6-0cdfa5571b59,squat,110,6,127.7,2026-04-21 23:11:30.31248+00,2026-04-21 23:11:30.31248+00
1194a958-0d44-441f-bb88-00cda50fe4fe,0a0bb310-eff2-4351-a82a-fd2fe286d234,88d8a2c5-7689-43d4-9797-274ad0226281,deadlift,180,3,190.6,2026-04-22 00:13:41.637492+00,2026-04-22 00:13:41.637492+00
6c977eb9-44dd-4488-95f5-f798d25e1308,e171833f-e8d0-4b2c-884c-fda495f1019a,856c7db7-094d-4a30-b03f-52e603afd52a,bench,80,4,87.3,2026-04-22 01:42:15.729827+00,2026-04-22 01:42:15.729827+00
62168c69-8929-452c-b56c-fef45fd91992,e171833f-e8d0-4b2c-884c-fda495f1019a,856c7db7-094d-4a30-b03f-52e603afd52a,bench,94,2,96.7,2026-04-22 01:43:05.94515+00,2026-04-22 01:43:05.94515+00
6fde0613-ff31-459c-9c4b-6794228d6d5d,e171833f-e8d0-4b2c-884c-fda495f1019a,856c7db7-094d-4a30-b03f-52e603afd52a,bench,90,3,95.3,2026-04-22 01:43:11.154613+00,2026-04-22 01:43:11.154613+00
06e4bb13-f475-4cb7-a60d-8c224744c86e,73057fac-df99-47e3-9a98-73655103e9bb,451d7214-96b3-4859-8ac6-0cdfa5571b59,squat,155,4,169.1,2026-04-22 18:22:27.075963+00,2026-04-22 18:22:27.075963+00
6bc740fa-9b3e-4d6d-99b4-a16a4ce83e45,73057fac-df99-47e3-9a98-73655103e9bb,451d7214-96b3-4859-8ac6-0cdfa5571b59,squat,170,3,180,2026-04-22 18:22:38.551612+00,2026-04-22 18:22:38.551612+00
